# Generated by export-plugins.sh - do not edit by hand, EXCEPT the `pack` column.
# Columns: kind<TAB>name<TAB>source<TAB>pack
#
# pack: core | code | seo | vanphong | video | noidung | design | ? (unclassified)
# Applies to `plugin` rows only. Every marketplace is added - a generous store, a tight
# enable list.
#
# ! LAYER 2 (Claude Code plugins). 81 entries scored on 2026-08-06 against the 9-axis
#   rubric: 16 kept, 65 rejected. Per-entry reasons: scoring-layer-2.md
#   Rejected entries live in plugins-loai.tsv - export-plugins.sh reads that file so they
#   are not pulled back in.
#   Layer 1 (Cowork) follows the account and cannot be scripted. See docs/thiet-bi-moi.md.
marketplace	caveman	JuliusBrussee/caveman	
marketplace	claude-plugins-official	anthropics/claude-plugins-official	
marketplace	bso-power-kit	https://github.com/Bacsi-Online-HGMP/bso-power-kit.git	
marketplace	huggingface-skills	huggingface/skills	
marketplace	karpathy-skills	multica-ai/andrej-karpathy-skills	
marketplace	ponytail	DietrichGebert/ponytail	
plugin	andrej-karpathy-skills	karpathy-skills	code
plugin	caveman	caveman	vanphong
plugin	chrome-devtools-mcp	claude-plugins-official	seo
plugin	claude-md-management	claude-plugins-official	core
plugin	code-review	claude-plugins-official	code
plugin	commit-commands	claude-plugins-official	core
plugin	desktop-commander	claude-plugins-official	core
plugin	github	claude-plugins-official	code
plugin	hookify	claude-plugins-official	core
plugin	mattpocock-skills	bso-power-kit	code
plugin	plugin-dev	claude-plugins-official	core
plugin	ponytail	ponytail	vanphong
plugin	pyright-lsp	claude-plugins-official	code
plugin	security-guidance	claude-plugins-official	core
plugin	skill-creator	claude-plugins-official	core
plugin	verification-before-completion	bso-power-kit	core
