# REJECTED plugins - kept so the decision is not made again from scratch.
# Columns: name<TAB>marketplace<TAB>rule<TAB>reason
#
# name = "*"  : rejects the WHOLE MARKETPLACE. export-plugins.sh will not write that
#               marketplace row, and drops every plugin coming from it. Use this when no
#               entry in the marketplace is still usable - to reject only a few plugins,
#               list them by name as normal.
#
# rule: PH1   = the hard PH=1 floor (the cut rule, independent of tier)
#       catB  = the ordinary cut rule (tier B with a flag, or PH=2 with no real work)
#       trung = the duplication rule, "heavy overlap, enable one" - NOT the cut rule;
#               the score stays high
#
# export-plugins.sh reads this file: any plugin named here is not pulled back into the
# install TSV. To restore one: delete its row here, re-run export-plugins.sh, assign a pack.
# Full scoring: scoring-layer-2.md
frontend-design	claude-plugins-official	trung	bso-design mang nhan dien BSO, da gop bon nguon
claude-code-setup	claude-plugins-official	trung	bootstrap-device la bo cai nha, co cot pack
playwright	claude-plugins-official	trung	chrome-devtools-mcp doc duoc console va network
remember	claude-plugins-official	trung	tri nho Cowork da co san theo tai khoan
huggingface-skills	claude-plugins-official	trung	keo 19 skill ML, ca 19 deu bi san PH loai
csharp-lsp	claude-plugins-official	PH1	BSO khong viet C#
jdtls-lsp	claude-plugins-official	PH1	BSO khong viet Java
php-lsp	claude-plugins-official	PH1	BSO khong viet PHP
clangd-lsp	claude-plugins-official	PH1	BSO khong viet C/C++
typescript-lsp	claude-plugins-official	PH1	BSO khong viet TypeScript
auth0	claude-plugins-official	PH1	ha tang dang nhap ung dung web
firebase	claude-plugins-official	PH1	ha tang ung dung, BSO khong co san pham phan mem
supabase	claude-plugins-official	PH1	ha tang ung dung
vercel	claude-plugins-official	PH1	ha tang trien khai web
expo	claude-plugins-official	PH1	React Native, khong co app di dong
coderabbit	claude-plugins-official	PH1	review code SaaS tra phi
greptile	claude-plugins-official	PH1	review code SaaS tra phi
circleback	claude-plugins-official	PH1	ghi chu hop dang SaaS
mintlify	claude-plugins-official	PH1	docs SaaS
datarobot-agent-skills	claude-plugins-official	PH1	AutoML
dataverse	claude-plugins-official	PH1	CRM Microsoft
fiftyone	claude-plugins-official	PH1	dataset thi giac may tinh
discord	claude-plugins-official	PH1	khong phai kenh cua BSO
telegram	claude-plugins-official	PH1	khong phai kenh cua BSO
imessage	claude-plugins-official	PH1	khong phai kenh cua BSO
fakechat	claude-plugins-official	PH1	gia lap hoi thoai, khong cham viec nao
data	claude-plugins-official	PH1	kho du lieu, BSO khong co
data-engineering	claude-plugins-official	PH1	ETL, BSO khong co
agent-sdk-dev	claude-plugins-official	PH1	dung agent de phat hanh; BSO chi tieu thu
atomic-agents	claude-plugins-official	PH1	framework agent
mcp-server-dev	claude-plugins-official	PH1	viet MCP server
mcp-tunnels	claude-plugins-official	PH1	duong ham MCP
mcp-apps	claude-plugins-official	PH1	ung dung MCP
microsoft-docs	claude-plugins-official	PH1	tra tai lieu Microsoft
math-olympiad	claude-plugins-official	PH1	toan thi, lech han mien
playground	claude-plugins-official	PH1	thu nghiem, khong gan viec nao
ralph-loop	claude-plugins-official	PH1	vong lap agent thu nghiem
firecrawl	claude-plugins-official	PH1	scraping can key tra phi; canh bao ToS muc 2 cua thuoc
pr-review-toolkit	claude-plugins-official	catB	PH2 — BSO push thang main, chua co luong PR
code-modernization	claude-plugins-official	catB	PH2 — khong co codebase cu can hien dai hoa
feature-dev	claude-plugins-official	catB	PH2 — khong phat trien tinh nang phan mem
code-simplifier	claude-plugins-official	catB	PH2 — trung code-review, ma BSO la script ngan
session-report	claude-plugins-official	catB	PH2 — HANDOFF-*.md viet tay dang lam dung viec nay
explanatory-output-style	claude-plugins-official	catB	PH2 — doi giong dau ra, khong cham san xuat
learning-output-style	claude-plugins-official	catB	PH2 — doi giong dau ra, khong cham san xuat
ai-plugins	claude-plugins-official	catB	PH2 — khong cham viec san xuat
hf-cli	huggingface-skills	PH1	huan luyen/trien khai mo hinh ML; BSO dung mo hinh qua API
hf-mem	huggingface-skills	PH1	huan luyen/trien khai mo hinh ML; BSO dung mo hinh qua API
huggingface-best	huggingface-skills	PH1	huan luyen/trien khai mo hinh ML; BSO dung mo hinh qua API
huggingface-community-evals	huggingface-skills	PH1	huan luyen/trien khai mo hinh ML; BSO dung mo hinh qua API
huggingface-datasets	huggingface-skills	PH1	huan luyen/trien khai mo hinh ML; BSO dung mo hinh qua API
huggingface-gradio	huggingface-skills	PH1	huan luyen/trien khai mo hinh ML; BSO dung mo hinh qua API
huggingface-llm-trainer	huggingface-skills	PH1	huan luyen/trien khai mo hinh ML; BSO dung mo hinh qua API
huggingface-local-models	huggingface-skills	PH1	huan luyen/trien khai mo hinh ML; BSO dung mo hinh qua API
huggingface-lora-space-builder	huggingface-skills	PH1	huan luyen/trien khai mo hinh ML; BSO dung mo hinh qua API
huggingface-paper-publisher	huggingface-skills	PH1	huan luyen/trien khai mo hinh ML; BSO dung mo hinh qua API
huggingface-papers	huggingface-skills	PH1	huan luyen/trien khai mo hinh ML; BSO dung mo hinh qua API
huggingface-spaces	huggingface-skills	PH1	huan luyen/trien khai mo hinh ML; BSO dung mo hinh qua API
huggingface-tool-builder	huggingface-skills	PH1	huan luyen/trien khai mo hinh ML; BSO dung mo hinh qua API
huggingface-trackio	huggingface-skills	PH1	huan luyen/trien khai mo hinh ML; BSO dung mo hinh qua API
huggingface-vision-trainer	huggingface-skills	PH1	huan luyen/trien khai mo hinh ML; BSO dung mo hinh qua API
huggingface-zerogpu	huggingface-skills	PH1	huan luyen/trien khai mo hinh ML; BSO dung mo hinh qua API
train-sentence-transformers	huggingface-skills	PH1	huan luyen/trien khai mo hinh ML; BSO dung mo hinh qua API
transformers-js	huggingface-skills	PH1	huan luyen/trien khai mo hinh ML; BSO dung mo hinh qua API
trl-training	huggingface-skills	PH1	huan luyen/trien khai mo hinh ML; BSO dung mo hinh qua API
superpowers	claude-plugins-official	trung	mattpocock-skills phu grilling/diagnosing/writing-skills; verification-before-completion da tach ra rieng
ecc	ecc	catB	NG=1 va khong skill nao dung duoc: verification-loop doi build/test BSO khong co, security-review 494 dong trung security-guidance
*	ecc	catB	marketplace chi chua plugin `ecc`, ma plugin do da loai — go luon dang ky. Go tren may that: claude plugin marketplace remove ecc
alexgreensh/token-optimizer	-	catB	FR=1 PolyForm Noncommercial 1.0.0 — BSO ban hang, dung la vi pham giay phep
headroomlabs-ai/headroom	-	catB	PH2 AT2 NG2 — proxy chan giua moi request + tu cai Serena; loi ich 60-95% la cho JSON, context BSO la markdown tieng Viet nen chi vao khoang 15-20%
ooples/token-optimizer-mcp	-	catB	CP=1 — chan Read built-in va phuc vu ban cache thay nguyen van; claims-matrix bat buoc trich nguyen van
